+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                       ;
+-------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                   ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; rv|mm_interconnect_0|router_008                                                                             ; 114   ; 0              ; 2            ; 0              ; 123    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|router_007|the_default_decode                                                          ; 0     ; 11             ; 0            ; 11             ; 11     ; 11              ; 11            ; 11              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|router_007                                                                             ; 114   ; 0              ; 2            ; 0              ; 123    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|router_006|the_default_decode                                                          ; 0     ; 11             ; 0            ; 11             ; 11     ; 11              ; 11            ; 11              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|router_006                                                                             ; 114   ; 0              ; 2            ; 0              ; 123    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|router_005|the_default_decode                                                          ; 0     ; 11             ; 0            ; 11             ; 11     ; 11              ; 11            ; 11              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|router_005                                                                             ; 114   ; 0              ; 2            ; 0              ; 123    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|router_004|the_default_decode                                                          ; 0     ; 11             ; 0            ; 11             ; 11     ; 11              ; 11            ; 11              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|router_004                                                                             ; 114   ; 0              ; 2            ; 0              ; 123    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|router_003|the_default_decode                                                          ; 0     ; 11             ; 0            ; 11             ; 11     ; 11              ; 11            ; 11              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|router_003                                                                             ; 114   ; 0              ; 2            ; 0              ; 123    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|router_002|the_default_decode                                                          ; 0     ; 15             ; 0            ; 15             ; 15     ; 15              ; 15            ; 15              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|router_002                                                                             ; 114   ; 15             ; 6            ; 15             ; 123    ; 15              ; 15            ; 15              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|router_001|the_default_decode                                                          ; 0     ; 15             ; 0            ; 15             ; 15     ; 15              ; 15            ; 15              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|router_001                                                                             ; 114   ; 0              ; 6            ; 0              ; 123    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|router|the_default_decode                                                              ; 0     ; 15             ; 0            ; 15             ; 15     ; 15              ; 15            ; 15              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|router                                                                                 ; 114   ; 0              ; 6            ; 0              ; 123    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|the_mm_clock_crossing_bridge_s0_agent_rdata_fifo                                       ; 79    ; 41             ; 0            ; 41             ; 36     ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|the_mm_clock_crossing_bridge_s0_agent_rsp_fifo                                         ; 154   ; 39             ; 0            ; 39             ; 113    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|the_mm_clock_crossing_bridge_s0_agent|uncompressor                                     ; 46    ; 1              ; 0            ; 1              ; 44     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|the_mm_clock_crossing_bridge_s0_agent                                                  ; 312   ; 39             ; 48           ; 39             ; 336    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|switch_pio_s1_agent_rdata_fifo                                                         ; 79    ; 41             ; 0            ; 41             ; 36     ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|switch_pio_s1_agent_rsp_fifo                                                           ; 154   ; 39             ; 0            ; 39             ; 113    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|switch_pio_s1_agent|uncompressor                                                       ; 46    ; 1              ; 0            ; 1              ; 44     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|switch_pio_s1_agent                                                                    ; 312   ; 39             ; 48           ; 39             ; 336    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|button_pio_s1_agent_rdata_fifo                                                         ; 79    ; 41             ; 0            ; 41             ; 36     ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|button_pio_s1_agent_rsp_fifo                                                           ; 154   ; 39             ; 0            ; 39             ; 113    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|button_pio_s1_agent|uncompressor                                                       ; 46    ; 1              ; 0            ; 1              ; 44     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|button_pio_s1_agent                                                                    ; 312   ; 39             ; 48           ; 39             ; 336    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|led_pio_s1_agent_rdata_fifo                                                            ; 79    ; 41             ; 0            ; 41             ; 36     ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|led_pio_s1_agent_rsp_fifo                                                              ; 154   ; 39             ; 0            ; 39             ; 113    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|led_pio_s1_agent|uncompressor                                                          ; 46    ; 1              ; 0            ; 1              ; 44     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|led_pio_s1_agent                                                                       ; 312   ; 39             ; 48           ; 39             ; 336    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|sdram_s1_agent_rdata_fifo                                                              ; 63    ; 41             ; 0            ; 41             ; 20     ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|sdram_s1_agent_rsp_fifo                                                                ; 136   ; 39             ; 0            ; 39             ; 95     ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|sdram_s1_agent|uncompressor                                                            ; 46    ; 1              ; 0            ; 1              ; 44     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|sdram_s1_agent                                                                         ; 244   ; 22             ; 32           ; 22             ; 265    ; 22              ; 22            ; 22              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|the_altpll_pll_slave_agent_rdata_fifo                                                  ; 79    ; 41             ; 0            ; 41             ; 36     ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|the_altpll_pll_slave_agent_rsp_fifo                                                    ; 154   ; 39             ; 0            ; 39             ; 113    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|the_altpll_pll_slave_agent|uncompressor                                                ; 46    ; 1              ; 0            ; 1              ; 44     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|the_altpll_pll_slave_agent                                                             ; 312   ; 39             ; 48           ; 39             ; 336    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|the_memory_mapped_reset_avalon_slave_agent_rdata_fifo                                  ; 79    ; 41             ; 0            ; 41             ; 36     ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|the_memory_mapped_reset_avalon_slave_agent_rsp_fifo                                    ; 154   ; 39             ; 0            ; 39             ; 113    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|the_memory_mapped_reset_avalon_slave_agent|uncompressor                                ; 46    ; 1              ; 0            ; 1              ; 44     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|the_memory_mapped_reset_avalon_slave_agent                                             ; 312   ; 39             ; 48           ; 39             ; 336    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|the_jtag_uart_avalon_jtag_slave_agent_rdata_fifo                                       ; 79    ; 41             ; 0            ; 41             ; 36     ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|the_jtag_uart_avalon_jtag_slave_agent_rsp_fifo                                         ; 154   ; 39             ; 0            ; 39             ; 113    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|the_jtag_uart_avalon_jtag_slave_agent|uncompressor                                     ; 46    ; 1              ; 0            ; 1              ; 44     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|the_jtag_uart_avalon_jtag_slave_agent                                                  ; 312   ; 39             ; 48           ; 39             ; 336    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|the_onchip_memory2_s2_agent_rdata_fifo                                                 ; 79    ; 41             ; 0            ; 41             ; 36     ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|the_onchip_memory2_s2_agent_rsp_fifo                                                   ; 154   ; 39             ; 0            ; 39             ; 113    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|the_onchip_memory2_s2_agent|uncompressor                                               ; 46    ; 1              ; 0            ; 1              ; 44     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|the_onchip_memory2_s2_agent                                                            ; 312   ; 39             ; 48           ; 39             ; 336    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|the_orca_timer_slave_agent|read_rsp_fifo                                               ; 154   ; 69             ; 0            ; 69             ; 111    ; 69              ; 69            ; 69              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|the_orca_timer_slave_agent|write_rsp_fifo                                              ; 154   ; 41             ; 0            ; 41             ; 111    ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|the_orca_timer_slave_agent|read_burst_uncompressor                                     ; 18    ; 1              ; 0            ; 1              ; 16     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|the_orca_timer_slave_agent|check_and_align_address_to_size                             ; 11    ; 2              ; 2            ; 2              ; 6      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|the_orca_timer_slave_agent                                                             ; 289   ; 32             ; 52           ; 32             ; 279    ; 32              ; 32            ; 32              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|the_master_master_agent                                                                ; 200   ; 37             ; 91           ; 37             ; 146    ; 37              ; 37            ; 37              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|the_vectorblox_orca_data_agent                                                         ; 200   ; 37             ; 91           ; 37             ; 146    ; 37              ; 37            ; 37              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|the_mm_clock_crossing_bridge_m0_agent                                                  ; 200   ; 37             ; 91           ; 37             ; 146    ; 37              ; 37            ; 37              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|switch_pio_s1_translator                                                               ; 115   ; 6              ; 33           ; 6              ; 36     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|button_pio_s1_translator                                                               ; 115   ; 6              ; 33           ; 6              ; 70     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|led_pio_s1_translator                                                                  ; 115   ; 6              ; 33           ; 6              ; 70     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|sdram_s1_translator                                                                    ; 80    ; 4              ; 10           ; 4              ; 61     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|the_altpll_pll_slave_translator                                                        ; 115   ; 6              ; 30           ; 6              ; 70     ; 6               ; 6             ; 6               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|the_memory_mapped_reset_avalon_slave_translator                                        ; 115   ; 5              ; 30           ; 5              ; 70     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|the_jtag_uart_avalon_jtag_slave_translator                                             ; 115   ; 5              ; 34           ; 5              ; 70     ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|the_onchip_memory2_s2_translator                                                       ; 115   ; 7              ; 19           ; 7              ; 86     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|the_mm_clock_crossing_bridge_s0_translator                                             ; 115   ; 4              ; 1            ; 4              ; 105    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|the_mm_clock_crossing_bridge_m0_translator                                             ; 115   ; 11             ; 2            ; 11             ; 109    ; 11              ; 11            ; 11              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|the_master_master_translator                                                           ; 116   ; 13             ; 2            ; 13             ; 109    ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0|the_vectorblox_orca_data_translator                                                    ; 116   ; 13             ; 2            ; 13             ; 109    ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|mm_interconnect_0                                                                                        ; 537   ; 0              ; 1            ; 0              ; 505    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_vectorblox_orca|the_memory_interface|data_cache_mux|aux_oimm_register                                ; 112   ; 13             ; 2            ; 13             ; 111    ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_vectorblox_orca|the_memory_interface|data_cache_mux|uc_oimm_register                                 ; 112   ; 48             ; 0            ; 48             ; 111    ; 48              ; 48            ; 48              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_vectorblox_orca|the_memory_interface|data_cache_mux|internal_oimm_register                           ; 112   ; 12             ; 0            ; 12             ; 111    ; 12              ; 12            ; 12              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_vectorblox_orca|the_memory_interface|data_cache_mux                                                  ; 302   ; 142            ; 162          ; 142            ; 246    ; 142             ; 142           ; 142             ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_vectorblox_orca|the_memory_interface|instruction_cache_mux|aux_oimm_register                         ; 112   ; 13             ; 2            ; 13             ; 111    ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_vectorblox_orca|the_memory_interface|instruction_cache_mux|uc_oimm_register                          ; 112   ; 48             ; 0            ; 48             ; 111    ; 48              ; 48            ; 48              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_vectorblox_orca|the_memory_interface|instruction_cache_mux|internal_oimm_register                    ; 112   ; 13             ; 2            ; 13             ; 111    ; 13              ; 13            ; 13              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_vectorblox_orca|the_memory_interface|instruction_cache_mux                                           ; 302   ; 181            ; 162          ; 181            ; 246    ; 181             ; 181           ; 181             ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_vectorblox_orca|the_memory_interface                                                                 ; 699   ; 847            ; 400          ; 847            ; 1019   ; 847             ; 847           ; 847             ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_vectorblox_orca|core|X|vcp_port                                                                      ; 132   ; 9              ; 2            ; 9              ; 139    ; 9               ; 9             ; 9               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_vectorblox_orca|core|X|syscall                                                                       ; 333   ; 129            ; 35           ; 129            ; 271    ; 129             ; 129           ; 129             ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_vectorblox_orca|core|X|ls_unit                                                                       ; 153   ; 0              ; 11           ; 0              ; 109    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_vectorblox_orca|core|X|branch                                                                        ; 185   ; 0              ; 5            ; 0              ; 100    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_vectorblox_orca|core|X|alu|\divide_gen:div                                                           ; 67    ; 0              ; 0            ; 0              ; 65     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_vectorblox_orca|core|X|alu                                                                           ; 153   ; 1              ; 8            ; 1              ; 35     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_vectorblox_orca|core|X                                                                               ; 516   ; 0              ; 84           ; 0              ; 550    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_vectorblox_orca|core|D|the_register_file|registers[0][31]__2|auto_generated                          ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_vectorblox_orca|core|D|the_register_file|registers[0][31]__1|auto_generated                          ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_vectorblox_orca|core|D|the_register_file                                                             ; 54    ; 0              ; 5            ; 0              ; 96     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_vectorblox_orca|core|D                                                                               ; 139   ; 1              ; 0            ; 1              ; 249    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_vectorblox_orca|core|I                                                                               ; 104   ; 0              ; 2            ; 0              ; 164    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_vectorblox_orca|core                                                                                 ; 270   ; 0              ; 0            ; 0              ; 476    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_vectorblox_orca                                                                                      ; 591   ; 1440           ; 0            ; 1440           ; 1119   ; 1440            ; 1440          ; 1440            ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_orca_timer                                                                                           ; 100   ; 88             ; 14           ; 88             ; 115    ; 88              ; 88            ; 88              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_onchip_memory2|the_altsyncram|auto_generated                                                         ; 104   ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_onchip_memory2                                                                                       ; 110   ; 0              ; 2            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_mm_clock_crossing_bridge|rsp_fifo|read_crosser|sync[2].u                                             ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_mm_clock_crossing_bridge|rsp_fifo|read_crosser|sync[1].u                                             ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_mm_clock_crossing_bridge|rsp_fifo|read_crosser|sync[0].u                                             ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_mm_clock_crossing_bridge|rsp_fifo|read_crosser                                                       ; 5     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_mm_clock_crossing_bridge|rsp_fifo|write_crosser|sync[2].u                                            ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_mm_clock_crossing_bridge|rsp_fifo|write_crosser|sync[1].u                                            ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_mm_clock_crossing_bridge|rsp_fifo|write_crosser|sync[0].u                                            ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_mm_clock_crossing_bridge|rsp_fifo|write_crosser                                                      ; 5     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_mm_clock_crossing_bridge|rsp_fifo                                                                    ; 113   ; 76             ; 0            ; 76             ; 37     ; 76              ; 76            ; 76              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_mm_clock_crossing_bridge|cmd_fifo|read_crosser|sync[2].u                                             ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_mm_clock_crossing_bridge|cmd_fifo|read_crosser|sync[1].u                                             ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_mm_clock_crossing_bridge|cmd_fifo|read_crosser|sync[0].u                                             ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_mm_clock_crossing_bridge|cmd_fifo|read_crosser                                                       ; 5     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_mm_clock_crossing_bridge|cmd_fifo|write_crosser|sync[2].u                                            ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_mm_clock_crossing_bridge|cmd_fifo|write_crosser|sync[1].u                                            ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_mm_clock_crossing_bridge|cmd_fifo|write_crosser|sync[0].u                                            ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_mm_clock_crossing_bridge|cmd_fifo|write_crosser                                                      ; 5     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_mm_clock_crossing_bridge|cmd_fifo                                                                    ; 152   ; 75             ; 0            ; 75             ; 73     ; 75              ; 75            ; 75              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_mm_clock_crossing_bridge                                                                             ; 109   ; 0              ; 0            ; 0              ; 105    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_memory_mapped_reset                                                                                  ; 38    ; 0              ; 31           ; 0              ; 34     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_master|rst_controller|alt_rst_req_sync_uq1                                                           ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_master|rst_controller|alt_rst_sync_uq1                                                               ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_master|rst_controller                                                                                ; 33    ; 31             ; 0            ; 31             ; 1      ; 31              ; 31            ; 31              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_master|p2b_adapter                                                                                   ; 14    ; 8              ; 2            ; 8              ; 20     ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_master|b2p_adapter                                                                                   ; 22    ; 0              ; 2            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_master|transacto|p2m                                                                                 ; 48    ; 0              ; 0            ; 0              ; 82     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_master|transacto                                                                                     ; 48    ; 0              ; 0            ; 0              ; 82     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_master|p2b                                                                                           ; 22    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_master|b2p                                                                                           ; 12    ; 0              ; 0            ; 0              ; 20     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_master|fifo                                                                                          ; 53    ; 41             ; 0            ; 41             ; 10     ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_master|timing_adt                                                                                    ; 12    ; 0              ; 3            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_master|jtag_phy_embedded_in_jtag_master|normal.jtag_dc_streaming|source_crosser|crosser              ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_master|jtag_phy_embedded_in_jtag_master|normal.jtag_dc_streaming|source_crosser                      ; 13    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; rv|the_master|jtag_phy_embedded_in_jtag_master|normal.jtag_dc_streaming|sink_crosser|output_stage           ; 12    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
